Table,Manufacturer,Year,Author,VPW/toolkit,Download,VPS-ID,Date added,Vouched for by,Confidence,"Notes, comments",Comp. Corner,C.C. last played,Rules/Instruction Cards,Tutorials
24,Stern,2009,RobbyKingPin,,24 (Stern 2009) - Modified (MOD) Games - Virtual Pinball Universe,QcOG228URt,08/06/2025,Frostaz,Full,,,02/06/2025,https://24.fandom.com/wiki/24_pinball,https://www.pinballnews.com/games/24/index4a.html
A Charlie Brown Christmas,Original,2023,iDigStuff,,A Charlie Brown Christmas feat. The Vince Guaraldi Trio (iDigStuff 2023) w/ VR Room - VPX - Pinball Tables,IW7Z0lOheZ,05/01/2024,Colvert,Full,,,31/12/2023,,
AC/DC Luci,Stern,2013,VPW,,ACDC LUCI (Stern 2013) VPW Mod - VPX - Pinball Tables,butCgIcLzI,28/06/2023,PinStratsDan,Full,,,06/02/2023,acdc rulesheet,For Those About to Rock: How to Play Stern's AC/DC Pinball
Adventures of Rocky and Bullwinkle and Friends,Data East,1993,Cyberpez,,Adventures of Rocky and Bullwinkle and Friends (Data East - 1993) v1.06 - VPX - Pinball Tables,ncBxxDuBlr,15/06/2024,ballmrk,Low,Problems detected in C.C.,,10/06/2024,Pinball Archive Rule Sheet: The Adventures of Rocky and Bullwinkle and Friends,Rocky & Bullwinkle Pinball Tutorial & Gameplay (Data East 1993)
Alien Poker ,Williams,1980,Bord,,Alien Poker (Williams 1980) - VPX - Pinball Tables,KB524fEp,28/06/2023,PinStratsDan,Full,,,08/11/2021,Alien Poker - Pinball Rules,Alien Poker Pinball Tutorial
Alien Star,Gottlieb,1984,UnclePaulie,,Alien Star (Gottlieb 1984),EE7Sw0ydR5,01/09/2025,S0l1dxsnake,Full,,,01/09/2025,Alien Star - Pinball Rules,Gottlieb Alien Star pinball machine; in depth review and gameplay.
Apollo 13,Sega,1995,UnclePaulie,,Apollo 13 (Sega 1995) w VR Room - VPX - Pinball Tables,Dln8y0RtYj,04/07/2023,Colvert,Full,,,,Pinball Archive Rule Sheet: Apollo 13,https://pinballprimer.github.io/apollo13_G411e.html
Atlantis ,Bally,1989,UnclePaulie,,Atlantis (Bally 1989) w VR Room - VPX - Pinball Tables,rfiQb9C3vk,28/06/2023,PinStratsDan,Full,,,04/07/2022,Atlantis (1989),Unlock The Secrets Of Atlantis
Atlantis ,Gottlieb,1975,EMUnderdogs,,Atlantis (Gottlieb 1975) 1.3.2 Hybrid FS-DT-VR - VPX - Pinball Tables,ZMHjwdbiVT,16/06/2025,Intelekt,Full,,,16/06/2025,Atlantis - Pinball Rules,
Attack from Mars,Bally,1995,"G5K,Fluffhead,Tomate",,Attack from Mars Bally 1995 g5k 1311vpx,GU7EA7ls,01/10/2023,Houseofhayne,Full,,,31/03/2025,Pinball Archive Rule Sheet: Attack From Mars,Attack from Mars Pinball Tutorial - Mobile Version
Avatar,Stern,2012,Tartzani,,Avatar (Stern 2012)OqqsanMod - VPX - Pinball Tables,DYof1TQz0-,18/11/2023,Colvert,Full,,,,Avatar,Avatar (Stern 2012)  - VPX Video Instruction
Austin Powers,Stern,2001,VPW,,Austin Powers (Stern 2001) VPW Mod - VPX - Pinball Tables,OH-PKb4h,01/07/2024,Colvert,Low,,,,"Austin Powers Rulesheet Version 0.99 (Mar/02/2003), by David Gersic",VPX Pinball Tutorial: Austin Powers (Stern 2001)
Bad Cats,Bally,1989,VPW,,Bad Cats (Williams 1989) VPW Mod - VPX - Pinball Tables,AlOFdxml,28/06/2023,Exarkun0239,Full,Cat's Meow rom for more balanced scoring ? ,,07/04/2025,Bad Cats - Pinball Archive Rule Sheet,Rules & Strategies
Barracora ,Williams,1981,UnclePaulie,,Barracora (Williams 1981) w VR Room - VPX - Pinball Tables,Y2dLc3QDej,28/06/2023,PinStratsDan,Full,,,27/02/2023,Barracora (Williams 1981) - Wiki Rulesheets - Tilt Forums,Barracora Pinball Tutorial
Baseball,Gottlieb,1970,EMUnderdogs,,Baseball (Gottlieb 1970) 1.2.1 - VPX - Pinball Tables,jSQ2WWV6hQ,10/06/2025,Ed209,Full,,,09/06/2025,Baseball - Pinball Rules,
Batman ,Data East,1991,VPW,,Batman (Data East 1991) VPW - VPX - Pinball Tables,99azbvfU,28/06/2023,xcoff33x,Full,,,24/06/2024,https://vpuniverse.com/screenshots/monthly_2024_02/Batman(DataEast1991).jpg.92977084c74be3f1fbc181e1d1180c6a.jpg,Data East Batman Pinball Gameplay Tutorial
Batman 66 Stern Tribute,Stern,2016,Daphisbowl,,Batman 66 Stern Tribute,UYz53f4Vy5,18/09/2023,Colvert,Medium,Scoring bug ?,,05/07/2021,Batman 66 Rulesheet,Batman 66 Pinball Tutorial
Batman the Dark Knight ,Stern,2008,Bord,,Batman [The Dark Knight] (Stern 2008) bord mod - VPX - Pinball Tables,3BdkPyKqr6,28/06/2023,PinStratsDan,Full,,,19/09/2022,batman,Batman Dark Knight Pinball Tutorial
Baywatch,Sega,1995,Loaded Weapon,,Baywatch (nFozzy) - VPX - Pinball Tables,CT4Kk8pF1z,15/09/2025,Jutsuka,Full,,,15/09/2025,https://arcarc.xmission.com/Pinball/PDF%20Pinball%20Manuals%20and%20Schematics/Baywatch%20Sample%20Manual.pdf,Baywatch Pinball Tutorial
Beat the Clock,Bally,1985,VPW,,Beat The Clock (Bally 1985) VPW - VPX - Pinball Tables,M_-abOpiP4,30/06/2024,Colvert,Full,,,30/09/2024,Beat the Clock - Pinball Rules,Beat the Clock Pinball by Williams
Beavis and Butthead ,Original,2023,cHuGaLaeFoo,,"Beavis And Butthead Pinball Stupidity - nFozzy physics, Fleep Sounds, LUT, DOF",JCnmBfOopT,28/06/2023,PinStratsDan,Full,,,,Beavis And Butthead Pinball Stupidity (chug 2023) Instruction Cards,
Big Bang Bar ,Capcom,1996,VPW,,Big Bang Bar (Capcom 1996) VPW - VPX - Pinball Tables,Ds1b7cXKb2,28/06/2023,Emb417,Full,,,30/12/2024,Pinball Archive Rule Sheet: Big Bang Bar,VPX Pinball Tutorial: Big Bang Bar (Capcom 1996)
Big Brave ,Gottlieb,1974,Hauntfreaks,,Big Brave (Gottlieb 1974) - VPX - Pinball Tables,yoYq8qIg,28/06/2023,PinStratsDan,Full,,,,Big Brave - Pinball Rules,
Big Buck Hunter Pro,Stern,2010,TastyWasps,,Big Buck Hunter Pro (Stern 2010) - VPX - Pinball Tables,XyIigsNsKG,17/05/2024,Colvert,Full,,,15/04/2024,https://www.pinballnews.com/games/bigbuckhunter/index6.html,Hello and welcome to the second part of the exclusive Pinball News In-Depth Review of Stern's Big Buck Hunter Pro pinball.
Big Shot,Gottlieb,1974,Rothbauerw,,Big Shot Gottlieb 1974,akqRhW76,12/09/2023,Studlygoorite,Full,,,,Big Shot (pinball) - Wikipedia,The Pinball Arcade: Big Shot (1973) Walkthrough
Black Knight ,Williams,1980,Bord,,Black Knight (Williams 1980) - VPX - Pinball Tables,EeMZzrFG,28/06/2023,PinStratsDan,Full,,,22/11/2021,Pinball Archive Rule Sheet: Black Knight,Black Knight Tactics and Strategies | Digital Pinball Fans
Black Knight 2000 ,Williams,1989,UnclePaulie,,Black Knight 2000 (Williams 1989) w VR Room - VPX - Pinball Tables,RcPhgFiL1b,28/06/2023,den_laef,Full,,,15/07/2024,Pinball Archive Rule Sheet: Black Knight 2000,"Black Knight 2000 (Williams, 1989) 5/16/19 ""Bro, do you even pinball?"""
Black Pyramid,Bally ,1984,UnclePaulie,,Black Pyramid (Bally 1984) - VPX - Pinball Tables,PJONQBPyzJ,15/04/2025,Lminimart,Full,Rollover 10 M,,14/04/2025,Black Pyramid - Pinball Rules,"""Black Pyramid"" - a Virtual Pinball Tutorial"
Black Rose ,Bally,1992,VPW,,Black Rose (Bally 1992) VPW Mod - VPX - Pinball Tables,zUJ07JKe,28/06/2023,S0l1dxsnake,Full,,,22/09/2025,Pinball Archive Rule Sheet: Black Rose,Become Queen of the High Seas with the Black Rose Pinball Tutorial
Blackout,Williams,1980,Schlabber34,,Blackout (Williams 1980) - Schlabber34 - VPX - Pinball Tables,An6STuPS,01/07/2023,PinStratsDan,Full,,,,Blackout - Pinball Rules,Blackout Pinball (Williams 1980) Tutorial and Gameplay
Blizzard of Ozz,Original,2025,ZandysArcade,,The Blizzard of Ozz - VPX - Pinball Tables,ecjSchd5Od,24/11/2025,Mikepmcs,Full,,,24/11/2025,,
Blood Machines ,Original,2022,VPW,,Blood Machines (VPW Original 2022) - VPX - Pinball Tables,8ptfy_gf-Q,28/06/2023,PinStratsDan,Full,,,25/04/2022,Blood Machines (VPW 2022) - VPX Video Instruction,You too can defeat Galdor! Blood Machines (VPW 2022) 2.0 - Strategy Guide - Visual Pinball X / VPX
Bobby Orr Power Play ,Bally,1977,Bord,,Bobby Orr Power Play (Bally 1977) - VPX - Pinball Tables,T3W8qNSq,28/06/2023,PinStratsDan,Full,,,11/04/2022,Bobby Orr's Power Play - Pinball Rules,Bobby Orr Power Play Mini-Guide | Pinball for Mortals!
